,bhk,sqft_living,price,zipcode
348,3,1390,206600.0,98030
349,4,2500,387000.0,98155
350,1,560,299000.0,98014
351,4,2270,855000.0,98040
352,3,1900,315000.0,98166
353,2,990,437500.0,98103
354,4,1550,252000.0,98001
355,4,2200,375000.0,98118
356,4,1910,300000.0,98038
357,4,1750,420000.0,98006
358,3,1330,900000.0,98033
359,3,2440,679900.0,98116
360,3,1640,463000.0,98053
361,5,2760,380000.0,98059
362,4,1820,329500.0,98038
363,3,2110,604950.0,98033
364,5,3040,795000.0,98006
365,3,1840,465000.0,98045
366,4,2990,673000.0,98166
367,4,3520,810000.0,98074
368,4,2440,785000.0,98075
369,4,2090,338000.0,98056
370,3,1430,280000.0,98056
371,4,2180,315000.0,98133
372,4,2180,530000.0,98133
373,5,3450,380000.0,98023
374,3,1450,297000.0,98056
375,4,3230,730000.0,98075
376,3,1640,450000.0,98125
377,3,1590,275000.0,98038
378,4,2020,595000.0,98115
379,3,1300,435000.0,98144
380,2,1380,270000.0,98011
381,3,4040,950000.0,98077
382,4,2130,389000.0,98019
383,4,2550,560000.0,98052
384,5,4800,1350000.0,98006
385,4,2510,799000.0,98040
386,3,1410,365500.0,98072
387,3,1650,252350.0,98058
388,4,2120,403950.0,98146
389,4,2040,385000.0,98177
390,4,1550,345000.0,98106
391,3,1980,490000.0,98008
392,3,1600,330000.0,98019
393,4,3300,927000.0,98004
394,4,3840,1118000.0,98040
395,2,1220,330000.0,98028
396,5,2720,530000.0,98008
397,4,1940,365000.0,98006
398,3,2160,378750.0,98118
399,4,1530,269900.0,98058
400,3,1710,557000.0,98122
401,4,3730,360000.0,98022
402,2,940,352000.0,98117
403,3,1750,437000.0,98045
404,4,1820,322500.0,98038
405,3,1510,650000.0,98116
406,3,1290,450000.0,98103
407,3,1570,278500.0,98092
408,4,1930,364950.0,98055
409,4,2840,840000.0,98038
410,3,1550,268000.0,98031
411,2,833,517534.0,98070
412,3,2990,632925.0,98077
413,3,2000,577500.0,98034
414,4,2390,339000.0,98178
415,3,2910,570000.0,98052
416,4,2085,563500.0,98024
417,4,2200,423000.0,98133
418,3,1860,355000.0,98019
419,5,6070,1550000.0,98024
420,2,950,482000.0,98103
421,3,1600,625000.0,98006
422,3,2250,538000.0,98056
423,3,2280,380000.0,98058
424,2,940,375000.0,98122
425,3,1530,245000.0,98038
426,5,2190,310000.0,98166
427,3,2350,1300000.0,98004
428,4,1440,397000.0,98034
429,3,2200,365000.0,98058
430,4,2290,328500.0,98042
431,4,4040,988000.0,98052
432,4,2610,1000000.0,98103
433,3,1490,237000.0,98055
434,4,2450,525000.0,98011
435,4,1710,749000.0,98006
436,5,4870,722500.0,98074
437,3,3130,843000.0,98052
438,2,1270,438000.0,98115
439,3,2120,578000.0,98146
440,3,1670,227950.0,98001
441,3,2070,196000.0,98001
442,2,1420,641000.0,98105
443,3,1250,350000.0,98038
444,3,940,205000.0,98032
445,3,1920,400000.0,98072
446,3,3545,1030000.0,98027
447,3,1260,505000.0,98034
448,5,2340,475000.0,98034
449,3,2590,520000.0,98028
450,3,3970,1450000.0,98034
451,3,1220,333500.0,98011
452,3,1400,232000.0,98038
453,3,2360,691100.0,98006
454,3,1870,811000.0,98040
455,3,2830,551000.0,98028
456,3,2260,496500.0,98072
457,3,1970,705000.0,98070
458,4,3140,578000.0,98055
459,3,1240,255000.0,98042
460,4,3450,1050000.0,98006
461,3,2570,348000.0,98042
462,3,1510,230000.0,98031
463,4,2390,359500.0,98023
464,3,980,330000.0,98133
465,1,430,80000.0,98014
466,3,1480,465000.0,98133
467,4,1850,325000.0,98042
468,3,2270,340500.0,98168
469,3,1810,342500.0,98038
470,2,1610,290900.0,98178
471,3,3840,868700.0,98074
472,4,4110,1199000.0,98125
473,4,4190,1150000.0,98074
474,4,3390,859900.0,98074
475,4,1890,520000.0,98029
476,3,1610,460000.0,98118
477,3,1050,438924.0,98115
478,2,630,315000.0,98126
479,4,2910,590000.0,98033
480,4,1700,378500.0,98006
481,3,1950,328500.0,98042
482,3,2990,849950.0,98005
483,3,1350,525000.0,98136
484,4,4860,1385000.0,98074
485,4,2160,295000.0,98023
486,6,4860,1067000.0,98006
487,2,890,207950.0,98118
488,4,2810,699900.0,98075
489,5,3400,1280000.0,98027
490,4,1580,452000.0,98052
491,3,1680,370000.0,98055
492,3,1300,232000.0,98042
493,5,2820,669950.0,98034
494,3,1510,397500.0,98034
495,2,1230,490000.0,98112
496,4,2110,725000.0,98116
497,3,3080,299000.0,98032
498,2,1490,625000.0,98116
499,3,2120,437500.0,98065
500,4,3180,650000.0,98065
501,2,1490,475000.0,98117
502,3,1930,342000.0,98042
503,4,2770,1197350.0,98033
504,3,1670,280000.0,98055
505,2,1330,240000.0,98188
506,3,1210,529000.0,98107
507,3,1190,442000.0,98136
508,2,1540,615000.0,98119
509,4,4030,1485000.0,98033
510,4,2430,585000.0,98052
511,4,2600,480000.0,98059
512,5,4410,1095000.0,98053
513,4,1330,290000.0,98133
514,3,1900,615000.0,98116
515,2,1100,300000.0,98133
516,3,1980,308000.0,98030
517,3,2400,750000.0,98033
518,4,4760,2250000.0,98112
519,4,3180,890000.0,98059
520,3,1190,288000.0,98058
521,2,630,190000.0,98178
522,5,2530,515000.0,98133
523,4,1690,235000.0,98055
524,2,940,275000.0,98126
525,2,1240,727500.0,98004
526,4,3040,650000.0,98053
527,6,6050,1600000.0,98024
528,4,1590,365000.0,98125
529,3,2500,662000.0,98052
530,3,1780,270500.0,98038
531,2,1360,200000.0,98092
532,4,4740,970000.0,98075
533,3,1010,160000.0,98198
534,3,1040,204000.0,98010
535,3,1610,358000.0,98058
536,4,1570,452000.0,98011
537,2,1510,595000.0,98103
538,3,1360,249000.0,98042
539,4,1970,346900.0,98055
540,3,5403,2125000.0,98166
541,4,1560,280000.0,98056
542,4,2320,318888.0,98032
543,3,2120,530000.0,98075
544,3,2120,375000.0,98031
545,4,3350,910000.0,98052
546,4,2380,782000.0,98006
547,2,1070,259950.0,98106
548,4,2300,315000.0,98058
549,2,1320,215000.0,98168
550,3,2180,705000.0,98040
551,3,4380,1450000.0,98199
552,3,1790,451000.0,98155
553,2,750,261000.0,98055
554,3,1300,396000.0,98028
555,4,2990,725000.0,98059
556,7,4640,1950000.0,98040
557,4,1400,238000.0,98188
558,6,2750,750000.0,98052
559,4,2050,331500.0,98042
560,4,2230,460000.0,98065
561,4,2340,404950.0,98092
562,3,2870,880000.0,98103
563,4,4120,863000.0,98074
564,3,2080,638700.0,98005
565,3,1840,435000.0,98053
566,3,1180,260000.0,98178
567,5,2160,671500.0,98105
568,3,1180,610000.0,98109
569,2,1160,405000.0,98014
570,4,1830,338900.0,98038
571,4,3200,720000.0,98075
572,5,2560,442000.0,98108
573,5,2550,650000.0,98122
574,3,1330,263500.0,98058
575,2,1220,300000.0,98038
576,3,1805,266000.0,98002
577,4,6050,930000.0,98077
578,4,2320,530000.0,98028
579,3,1384,180000.0,98023
580,3,2720,619000.0,98065
581,3,1820,264000.0,98003
582,2,2130,730000.0,98116
583,4,2060,439000.0,98034
584,4,1420,268500.0,98031
585,3,1510,330000.0,98045
586,3,2160,640000.0,98122
587,3,3180,900000.0,98074
588,3,2110,370000.0,98038
589,3,2060,685000.0,98144
590,3,1830,505000.0,98053
591,3,1820,265000.0,98022
592,3,1610,290000.0,98055
593,4,1780,296000.0,98038
594,4,1840,360000.0,98178
595,3,1460,240500.0,98168
596,2,1400,372500.0,98126
597,3,3370,595000.0,98045
598,4,3590,515000.0,98023
599,4,3200,1220000.0,98040
600,2,1670,507000.0,98053
601,4,2420,399950.0,98092
602,3,1430,185000.0,98010
603,3,1440,460000.0,98052
604,3,1450,435500.0,98029
605,4,3550,469000.0,98188
606,2,1270,531000.0,98103
607,2,940,443500.0,98177
608,3,1670,223000.0,98042
609,4,3100,590000.0,98028
610,2,1100,340000.0,98103
611,3,1870,650000.0,98199
612,3,1930,533600.0,98029
613,3,2540,695000.0,98074
614,3,1280,242000.0,98031
615,3,1820,425000.0,98125
616,3,1490,525000.0,98052
617,3,1880,485000.0,98029
618,3,1250,175000.0,98045
619,3,1440,210000.0,98092
620,3,1920,260000.0,98031
621,3,2060,577000.0,98116
622,3,1210,200000.0,98002
623,2,1760,605000.0,98117
624,3,990,325000.0,98133
625,3,960,289500.0,98178
626,3,1660,559950.0,98144
627,3,1900,1042500.0,98115
628,3,1270,543500.0,98199
629,4,3250,480000.0,98042
630,3,960,218000.0,98022
631,2,1330,565000.0,98199
632,3,2080,426700.0,98056
633,3,2690,650000.0,98028
634,2,890,542000.0,98105
635,3,1070,415000.0,98052
636,3,1200,214000.0,98002
637,3,1360,245000.0,98188
638,3,2050,314500.0,98003
639,3,3000,1120000.0,98116
640,2,1300,378000.0,98136
641,4,2250,305000.0,98001
642,5,3740,595000.0,98028
643,3,1660,729500.0,98116
644,3,2360,430000.0,98065
645,3,1760,240000.0,98038
646,3,1680,545000.0,98136
647,3,1320,530000.0,98105
648,1,870,157000.0,98198
649,4,1260,425000.0,98146
650,3,1000,220000.0,98166
651,4,2020,521000.0,98077
652,3,1920,325000.0,98118
653,3,2150,597500.0,98126
654,3,1470,337000.0,98065
655,3,3180,1000000.0,98052
656,3,3930,3070000.0,98034
657,3,990,495000.0,98105
658,4,2770,748000.0,98052
659,3,1250,888000.0,98004
660,3,1140,269900.0,98045
661,4,2250,496500.0,98027
662,3,1640,475000.0,98155
663,3,1255,312000.0,98125
664,3,1290,323000.0,98072
665,3,1300,331000.0,98059
666,3,1220,306000.0,98133
667,4,2630,655000.0,98117
668,3,1950,290000.0,98003
669,4,3160,1250000.0,98105
670,3,1550,460000.0,98115
671,4,1700,435000.0,98115
672,4,2510,664000.0,98006
673,4,1800,865000.0,98102
674,3,1800,385000.0,98058
675,3,1870,497000.0,98034
676,2,1010,280000.0,98045
677,2,1120,188000.0,98178
678,3,2090,478500.0,98136
679,4,4370,1145000.0,98065
680,3,1440,222000.0,98023
681,4,2580,799000.0,98053
682,4,3190,609900.0,98038
683,4,2380,413000.0,98106
684,4,1420,400000.0,98115
685,5,2990,802541.0,98006
686,3,2680,320000.0,98023
687,4,2730,507000.0,98065
688,3,1220,387500.0,98115
689,3,1500,396000.0,98072
690,3,1830,373000.0,98055
691,5,4570,1484900.0,98040
692,4,2470,359900.0,98058
693,2,800,410000.0,98115
694,4,2900,690000.0,98053
695,3,1410,245000.0,98030
696,5,2830,700000.0,98075
697,4,1680,268000.0,98198
698,3,1760,225000.0,98042
699,4,2240,980000.0,98004
700,2,1380,795000.0,98106
701,2,820,195000.0,98118
702,4,2180,480000.0,98005
703,4,1400,485000.0,98119
704,2,880,130000.0,98188
705,2,1060,325000.0,98198
706,3,1530,440000.0,98034
707,4,2480,550000.0,98155
708,3,1490,310000.0,98059
709,3,3660,530000.0,98022
710,4,2340,390000.0,98031
711,3,1450,243000.0,98001
712,4,2210,639000.0,98074
713,4,1130,215000.0,98003
714,5,1550,405000.0,98011
715,4,1710,250000.0,98032
716,3,1010,405500.0,98155
717,6,2660,452000.0,98125
718,6,2660,730000.0,98125
719,3,1300,267000.0,98010
720,3,1670,289950.0,98038
721,2,960,565000.0,98103
722,4,4670,1578000.0,98005
723,3,2140,636000.0,98052
724,5,2520,350000.0,98178
725,3,1650,320000.0,98058
726,2,1440,210000.0,98198
727,2,1050,245000.0,98126
728,3,1470,328000.0,98059
729,4,4230,985000.0,98077
730,3,1970,501000.0,98055
731,3,1540,315000.0,98045
732,3,2090,403000.0,98019
733,3,2380,550000.0,98155
734,4,2156,347500.0,98030
735,4,2070,365000.0,98058
736,3,1910,588000.0,98117
737,3,1920,605000.0,98006
738,3,3400,1300000.0,98105
739,3,1400,233000.0,98001
740,4,2210,360000.0,98030
741,2,1170,459000.0,98117
742,3,2100,740000.0,98077
743,3,1160,305000.0,98077
744,3,1500,395000.0,98117
745,4,2940,560000.0,98011
746,4,2010,650000.0,98116
747,3,2170,449950.0,98028
748,3,1430,517500.0,98117
749,4,1510,435000.0,98034
750,3,1150,329999.0,98155
751,3,2150,950000.0,98116
752,3,1370,447000.0,98108
753,2,2380,699800.0,98053
754,3,1370,850000.0,98112
755,3,1600,316500.0,98023
756,5,3750,942500.0,98006
757,2,3950,1310000.0,98116
758,4,2400,856600.0,98005
759,5,2830,405600.0,98118
760,4,2440,565000.0,98053
761,3,1190,400000.0,98116
762,3,1400,330000.0,98019
763,4,2730,374950.0,98038
764,3,2390,405300.0,98056
765,3,2060,560000.0,98074
766,4,2490,824000.0,98004
767,3,1100,260000.0,98042
768,4,2430,760000.0,98115
769,3,3170,405000.0,98023
770,4,2640,429900.0,98058
771,3,1130,341500.0,98056
772,5,1940,465250.0,98177
773,2,1100,450000.0,98117
774,3,1200,390000.0,98006
775,3,2000,420000.0,98008
776,3,1890,269950.0,98168
777,4,1910,493000.0,98122
778,4,2710,370000.0,98092
779,5,4860,2250000.0,98112
780,3,1250,305000.0,98059
781,3,1590,400000.0,98034
782,3,1240,320000.0,98133
783,4,2000,715000.0,98103
784,6,3610,650000.0,98008
785,5,1930,218000.0,98023
786,2,1280,500000.0,98117
787,4,2090,460000.0,98027
788,3,1940,232500.0,98003
789,3,1800,408200.0,98106
790,3,1730,522000.0,98052
791,4,2810,675000.0,98074
792,4,3550,1355000.0,98006
793,4,1330,249950.0,98168
794,2,750,210000.0,98168
795,4,1760,429950.0,98133
796,4,3200,737500.0,98053
797,4,1740,710000.0,98033
798,3,2100,470000.0,98065
799,4,4270,1100000.0,98077
800,3,1340,650000.0,98103
801,4,3190,1216000.0,98006
802,3,1630,422120.0,98034
803,5,2990,625000.0,98011
804,4,1550,385200.0,98126
805,3,1690,500000.0,98029
806,4,1960,308000.0,98042
807,3,2390,565000.0,98006
808,3,2600,581000.0,98053
809,3,1950,361000.0,98042
810,3,1250,345000.0,98008
811,2,1180,419000.0,98122
812,3,1680,347000.0,98056
813,4,2220,625000.0,98075
814,4,4890,2400000.0,98040
815,3,2660,379000.0,98010
816,3,1150,310000.0,98029
817,2,1130,250000.0,98030
818,5,2760,682000.0,98059
819,3,1430,246500.0,98022
820,3,1490,325000.0,98092
821,4,2030,310950.0,98031
822,3,3010,1100000.0,98199
823,3,1810,287500.0,98133
824,3,1810,431000.0,98133
825,3,970,226000.0,98118
826,3,2010,825000.0,98103
827,4,1300,175000.0,98168
828,3,1260,465750.0,98008
829,4,2610,659000.0,98075
830,3,1910,595000.0,98115
831,3,1780,350000.0,98058
832,4,1900,270000.0,98023
833,6,2450,662500.0,98008
834,3,1380,249900.0,98001
835,3,1920,324500.0,98023
836,2,1350,430000.0,98053
837,2,1350,419950.0,98053
838,4,2510,285000.0,98032
839,4,2470,332000.0,98092
840,4,1660,282000.0,98168
841,3,1340,320000.0,98133
842,3,1620,428750.0,98006
843,3,2300,330000.0,98022
844,4,2000,456500.0,98177
845,3,1640,352000.0,98059
846,4,1530,664000.0,98105
847,3,4000,628000.0,98011
848,3,1610,512000.0,98052
849,3,2070,254000.0,98023
850,4,1900,535800.0,98029
851,3,1050,287653.0,98038
852,3,1520,438000.0,98136
853,4,2390,450000.0,98028
854,5,2400,327000.0,98092
855,4,1790,370500.0,98059
856,3,1720,265000.0,98038
857,4,2980,450000.0,98056
858,3,1520,425000.0,98027
859,3,1150,166600.0,98042
860,1,380,245000.0,98168
861,3,910,565000.0,98115
862,3,1650,539900.0,98033
863,3,2480,910000.0,98144
864,4,2050,280000.0,98092
865,3,1420,275000.0,98038
866,3,3460,467000.0,98056
867,3,1500,457500.0,98029
868,2,1320,381156.0,98118
869,5,2180,289999.0,98092
870,3,1830,642450.0,98144
871,3,1620,469950.0,98007
872,3,2920,795000.0,98033
873,4,3300,785000.0,98074
874,3,3060,860000.0,98006
875,0,3064,1095000.0,98102
876,3,1530,147500.0,98031
877,3,1910,390000.0,98011
878,3,1020,229000.0,98198
879,3,1150,185000.0,98168
880,3,1260,414900.0,98115
881,4,1920,200000.0,98136
882,4,1800,225000.0,98092
883,3,2040,720000.0,98105
884,4,2200,930000.0,98119
885,5,3200,1270000.0,98004
886,5,2400,700000.0,98122
887,2,1140,466000.0,98103
888,3,1330,374000.0,98011
889,3,1940,480000.0,98072
890,3,3000,740000.0,98053
891,4,1820,1010000.0,98102
892,4,2910,395000.0,98042
893,2,1090,340000.0,98106
894,3,1230,209000.0,98106
895,5,1710,431650.0,98007
896,5,3160,980000.0,98040
897,3,2680,660000.0,98077
898,4,2190,730000.0,98033
899,3,1260,291500.0,98042
900,4,2970,905000.0,98040
901,4,2570,800000.0,98077
902,4,3810,839900.0,98056
903,1,1010,200000.0,98126
904,3,1480,300000.0,98058
905,3,1250,530000.0,98115
906,3,1654,314950.0,98038
907,3,1410,255000.0,98031
908,5,2160,550000.0,98144
909,3,1400,435000.0,98136
910,3,1420,234000.0,98002
911,4,2500,615000.0,98052
912,3,1410,205000.0,98001
913,4,2100,384000.0,98106
914,3,1750,324000.0,98055
915,3,2070,645000.0,98115
916,3,1570,570000.0,98107
917,3,1920,324000.0,98031
918,2,1000,270000.0,98106
919,5,2120,290000.0,98058
920,3,1440,250000.0,98198
921,3,1660,342000.0,98014
922,3,1340,255000.0,98188
923,3,2380,800000.0,98040
924,3,1560,451000.0,98126
925,4,2780,990000.0,98033
926,4,1860,288400.0,98031
927,3,2390,420000.0,98118
928,2,1370,359000.0,98133
